,sentence,labels,ranges
156,paid for club stuck in one queue with eurotraveller at tenerife airport service is not what i expect,,
157,i’ve never had 🤦🏽‍♀️💯💯,,
158,does you include carpet shampoo ?,,
159,"okay. so would it be different if the person who would be going to the event used their card and paid for it, and i just logged them into the priority thing using my phone number?",,
160,yo you have all the good shows and i respect you over netflix but why the hell cant i make the screen smaller so i can do work like netflix let’s me do :(,,
161,did this happen after a recent update? have you tried uninstalling and reinstalling the app? ^ zw,,
162,"if it says ""shipping today"" and it's 21:40,should i expect something today?",,
163,we don’t have in chattanooga! stop torturing us with your amazing ads.,,
164,just got an ipod 6th gen and ios 11 is pretty much glitched out in all possible ways posting just the one i found interesting,,
165,"hello dan. i can assist you with your concerns. please send me a dm with your full name, account # and service address. - rk",dan,"[[6, 9]]"
166,too late.,,
167,are there known issues with carplay and ios 11.0.1? consistent crashes and major lag with unresponsive ui.,,
168,look at the bs given by your india staff. my son's skin on his foot is scraped because of this stupid footwear.,,
169,let me private message you and we can talk about any awesome deals you may be eligible for! *jordant,,
170,"hello, how can i help you today? - dr",,
171,"without a doubt, delays are frustrating for everyone involved, including us. we apologize for the inconvenience today. ^ lc",,
172,"hi andrew, which store is your local? we'll get your comments fed back for review. danny","andrew, danny","[[3, 9], [83, 88]]"
173,hi there! we've just sent a dm your way. let's carry on chatting there /ju,,
174,"bummer! we can help you with that, jay. can you dm us the email address you used to purchase the wifi? ^ jt",,
175,"we recently released an ios update, 11.1.1, that contains a fix for autocorrect issues. let’s be sure to back up your device prior to updating. follow the steps here:",,
176,"oh no! hey rudeboy, we would like to address this issue with you and hear more about it. would you please dm us? thank you. ange l",,
177,just had a tablet delivered and it’s all smashed?,,
178,"we heard you peter. dm your mobile number, we might just surprise you.^ fo",peter,"[[13, 18]]"
179,"yes different browser worked. don't know why gwr should give list of train times &amp; tickets, then say no tickets. yr bug not mine, i think.",,
180,shocking service at check in miami airport. checked in online but bag drop machines all off. only 2 people serving a queue of 60 plus passengers.,,
181,don't argue with a profile with one follower and four tweets in their entire account about their hatred for american airlines. clearly a troll....haha,,
182,"thanks for letting us know, matt! i've shared your feedback internally for review. 👍 if you have additional input, send us details directly via the console: ^ rh",matt,"[[28, 32]]"
183,where paying for a preferred seat gets you nothing.,,
184,that's okay no worries! : - ),,
185,"sorry for the trouble! which device do you use? for now, please try a quick device+modem/reboot. any change after?",,
186,". good question ""is anyone from spotify actually reading customer's feedbacks?"" are they?",,
187,- i'm not able to spin new vm's into azure infrastructure. please advice,,
188,thanks for blocking a one way street,,
189,so they probably delivered to the wrong location.,,
190,we make sure that we leave no customer left behind. we would like to know if you still need further assistance about the update?,,
191,"hi bobby. if you would please dm your account or phone number for me, i'll be happy to look into this for you. ^ mo",bobby,"[[3, 8]]"
192,i have this offer - i've clicked and accepted it then logged in but the discount doesn't come off my products? help?,,
193,thanks. in the meantime there is no way to get comp for you failing to meet timetable targets apart from 30 mins delays? that is surely a step back in customer service from what it was?,,
194,there have been 5 virgin trains leave euston ib last 30 minutes. youve run 1. do virgin care more?,,
195,let's make sure you and satisfy those post - work hunger pangs this stacy! send us a dm so we can assist. *kananib,,
196,you're sending a replacement. the fact this is not the first occupation was brushed under the carpet,,
197,woah! that is definitely a great question josie about your bill and i am stoked to see that you are using the t - mobile app to manage your account as an expert. send us a dm to take a further look at this. thanks for reaching out to . *antoinewhite,,
198,"sent a msg on the form, but there’s nowhere on my account indicating a payment was declined? i also have no emails from uber indicating this",,
199,oh no! let's talk about this in real time. please call or chat with us here: ^ ba,,
200,wir wünschen dir viel spaß mit dem pokémon ultrasonne/mond dual pack :) ^ bl,,
201,hi. which u.s. based card is this concerning? please do not release any personal or card information. ^ clarissa,clarissa,"[[104, 112]]"
202,in case there is no payment passenger will not allowed to board this flight and &gt;&gt;,,
203,still smelling pungently of washing power ? no progress on getting real sweet potatoes unflavoured with !,,
204,"was a credit card problem. fixed. but still (after more than a month) cannot get hulu on roku tv2open anything. it gets2loading, then dies.",,
205,no i contacted a service rep thru chat they said wait 24 - 48 hours and it'll show up,,
206,mcdonald’s holidays pies are so good,,
207,"we have a problem. mbp touch bar, high sierra.",,
208,"hello, can you please tell me where this happened? ^ cr",,
209,"yes, it looks like it did. i am not sure why... possibly an update? i still am unable to use the win10 app of skype tho... looks like older 32 bit version and it installs from the app store",,
210,at first it looks normal. till you notice the lettuce is moving. wtf,,
211,you have taken a payment twice out of my account ?,,
212,"bald wird die bestellung schon drei monate alt, feiern wir dann eigentlich geburtstag zusammen ?",,
213,"hi liam, please take this back to store with your receipt! store will replace this for you. - beth","liam, beth","[[3, 7], [94, 98]]"
214,aurora: ar - 15 orlando: ar - 15 las vegas: ar - 15 sandy hook: ar - 15 umpqua cc: ar - 15 san bernardino: ar - 15 sutherland springs: ar - 15,,
215,thanks for reaching out. please come on over to dm and we'll be happy to discuss this issue with you.,,
216,you had at least 2 opps to clean this train without prompting by customers - before it left rdg and before it left wat - failed again,,
217,we'd like to look into this with you. what ios version are you on?,,
218,😉,,
219,"it is mandatory to link your aadhar to your number. we request you to please do it as soon as possible. last date of aadhar linking is 6 feb 2018. regards,pradnya",pradnya,"[[155, 162]]"
220,i’m not able to change audio output on calls like speaker phone or my bluetooth. also i’m not able to control music from the lock screen...,,
221,how do you watch live tv on the laptop?,,
222,who to call regarding claim for roomba purchased thru amazon? asurian claim site doesn't work; emails not answered.,,
223,connection. can't get to the home page.,,
224,"we're glad you enjoyed it, vincent! we hope to see you onboard soon. ^ jt",,
225,"we'd be happy to help, but we could use more info. could you follow &amp; dm with your gamertag &amp; some details? ^ ez",,
226,hi. our new trains run on that route but not every service will be one. lewis,lewis,"[[72, 77]]"
227,thanks. what about the 15:36 and 16:36 sorry? i know it can change but i won't have much time to check gwr twitter later 😀.,,
228,my last 5 games in a row have all done this. i’ve restarted the console and reconnected to the internet.,,
229,"hi, arielle! it seems a member of our team has reached out to you. please check your email and follow up with them there. thanks!",arielle,"[[4, 11]]"
230,we'd love to help. have you tried other web browsers? you'd want to check with our sales team here:,,
231,"they should be yes, matthew :) ^ hp",matthew,"[[20, 27]]"
232,"we're happy you reached out so we can find you the info you need. if you forgot your apple id, go to the apple id account page: from here, click ""forgot apple id or password?"" then click ""look it up."" from here, follow the on screen prompts.",,
233,"they always say they'll look into it and get back to me, only to be blown off.",,
234,got tossed around by customer service 5 different times before i was finally told to call back tomorrow. was on the phone for almost 40 min,,
235,we hope you receive it very soon! you may want to reach out to our friends for further assistance. have a great one! ^ lb,,
236,without internet access i cannot get the link to load. can you check for outages in zip code 90272,,
237,we're sorry boarding didn't go as smooth as we planned. we really appreciate your feedback and it's valuable to us in making improvements.,,
238,thanks for reaching out. dm which app you are in when you see this message appear to get started.,,
239,while you are at it. i was told over 1yr ago by southwesttrains that they were going to add another oyster card reader at ewell west station as 1 just isn’t enough. it’s very dangerous when 100’s of people get off the train &amp; try to exits the platform through a 1 meter wide gate.,,
240,crashes on xbox app while entering the clubs....,,
241,its looking to clear for 22.30. a vehicle has hit a level crossing. full details here,,
242,"story of my trip to edinburgh with 1. struggled to remove the added in error ticket from the basket. when i thought i’d sorted it, it reappeared.",,
243,sill same haven't played online yet after 2 weeks,,
244,"cab booked this morning gets assigned to a different driver while the app shows a different driver. am denied a trip,time wasted!",,
245,any news?,,
246,thx for the support - hopefully will do the right thing for jennifer &amp; i in this frustrating episode &amp; address dtw cust. service issues ....,,
247,hi tuwaine 😩 please see our network guide for help with this here:,tuwaine,"[[3, 10]]"
248,kk sure but pls reply dont just ignore,,
249,i can arrange to have this matter looked into. please send your tracking number/details &amp; contact # to dm ^ ds,,
250,ok. dm us and we can take a closer look at things there.,,
251,"apologies for the frustrations. for further assistance with the wifi hotspots, please call ​888 - 851 - 9350​. ^ lg",,
252,i'll try contact to your toll free number but it's doesn't exist,,
253,thanks for bringing this to our attention! we'd like to look into it. please provide details here: ^ wj,,
254,"no worries! i've got backup! whenever you're ready for some help, i'll be waiting in that dm. talk to you soon marvin. *dannyharvey",,
255,we'd love to see what we can do to help out. what kind of issues are you experiencing? which ios version are you running? send us a dm with the details:,,
256,"bastou instalarem o cartaz na agência do informando que o assumiu o controle, que o atendimento já piorou. o que antes demorava 5 minutos, agora é meia - hora!",,
257,"hi there, i recently got a replacement iphone from you guys and the bluetooth doesn’t work. what should i do?",,
258,"also, it is important to have your rapid rewards # listed in the reservation so that you accrue points from traveling. (2/2) ^ kr",,
259,my.account got disabled right after i paid a ride in kul.had no idea! account phone number is 86 - 18600325179. please help,,
260,"hi ian, this is because of engineering work in the grantham area. please see",,
261,that's not right. dm us.,,
262,or ?,,
263,when are you launching in india?,,
264,"hi jonas, no, no void will be declared during the strike period. you can still claim delay repay if you have been delayed by 30 minutes or more against the revised timetable ^ jm",jonas,"[[3, 8]]"
265,"disgusting that you book an ride well in advance at the agreed £5 - 7, then you are told 2 mins before it is scheduled that it’s now going into surge and will now cost £13+ we should be told this when we pre - book.",,
266,"i m searching for a product boogie board sync which is more than double it's original price in the official website, and this is not just one product, the iball barrel is 200 bucks more than the selling price delivery charges excluded",,
267,he told me he’s a researcher...of 🐈,,
268,we’d be glad to look into this further. send us a dm and let us know exactly what's happening.,,
269,"aw, we're so happy to have you and your loved ones onboard with us. thanks for choosing southwest, moe! we appreciate you! ^ ma",,
270,i’m saddened by your tortilla packaging. no zip lock seal working on this packet of white tortilla wraps! no sir.,,
271,promo codes will appear there. - vickie (2/2),,
272,order # 405 - 8238198 - 8908362 showing delivered... but nothing has been delivered. neither the delivery person is taking the calls. nor the is not ready to take my complaint. this is why every in perfer,,
273,"have spoken with supervisors and management. same bureaucratic, institutional indifference at all tiers. do you have an email address for someone who gives a damn?",,
274,hi there can you tell me if 706/7091 will be back in stock before christmas?thx,,
275,we hear you loud and clear! we can’t make any promises but we’ll pass your feedback onto the right folks /mx,,
276,"flew 6 flights this week, excellent service this time. all on - time, really friendly staff. using this airline for few years, really pleasant experience after long time. thanks",,
277,first time flying with and i don’t want to fly with anyone else. they’ve created a cool flying atmosphere,,
278,"acabado de comprarme dos libros por 5,60€ me alegras la semana con estas cosas. si os interesa son dos libros de",,
279,thanks it was actually so my son could party an extra night with his friends before heading back to college. 🙄 lol but still you make it simple.,,
280,go ahead and continue working with that adviser. if you have further questions we'll continue in direct message.,,
281,i emailed again today &amp; received a reply that my money would be returned. i don’t want my money back - i want the items i ordered. one of the items was ordered on black friday at a reduced price and it is now back to the original price - i now need to reorder &amp; pay more!,,
282,1/2 we have found a discussion that may help you resolve your concern. kindly check the troubleshooting steps posted by,,
283,amazonのコンビニ支払いの仕方がわからない,,
284,"when you placed the order, did we provide a delivery date in our order confirmation e - mail? ^ bm",,
285,"'destroy 5 vehicles in one match'... this challenge for the panzerschreck is not working, ive tried multiple times. please can you fix it.",,
286,"this is sad to hear, sophie. we can appreciate your frustration. we're always updating our sparks offers, you'll receive more in the future.",sophie,"[[21, 27]]"
287,"added my girlfriend to my plan this past weekend, she’s coming over from vzw and she was sick of being ripped off. she couldn’t believe how quick and easy it was activating a device and adding a line. you guys are one of the best companies going today. thank you!",,
288,"hi yaser, if you believe you have been charged incorrectly then please get in touch with our customer services ^ jm",yaser,"[[3, 8]]"
289,"yikes! without giving any account information, what is the issue you are having with your seller account? ^ be",,
290,"hello, michael. that is a system default. however, on your actual ticket, you name will spell the way is supposed to be. i'll be happy to check review your reservation to make sure. can you please share your confirmation via dm? *aos",michael,"[[7, 14]]"
291,ihave the same issue,,
292,what is wrong with globacom? there hasn't been network in nearly every part of abeokuta for 3 days. is there network around you?,,
293,it's 2017 and your advising people to stream at low def to avoid going over the data cap! what genius came up with that strategy....,,
294,"that is one foolhardy statement . you are already throttling content delivery while trying to hide it from consumers. i am paying for 25 mb down, currently has less than 2 mb, with speedtest not even loading to third - party interconnectors.",,
295,"i just risked it, they had it :) thanks x",,
296,"hello, can you explain how digits works?",,
297,we ❤️ you too! thank you for being a customer and taking the time to let us know how we're doing. 😊 ^ hc,,
298,you,,
299,"english breakfast on flight from boston: dry powdered eggs and a rubbery piece of bacon, felt like post wwii rationing era. what’s happening?",,
300,"like all that suggests is that the bank can hold the funds or a 1 pound charge... does not really address, being charged the same amount twice.",,
301,"hey i live in sweden, i don't use proxy/vpn (on spotify at least) and my featured charts are from singapore - how can i fix it?",,
302,"hi carlos, i am looping an expert who should be able to help you with the licensing issue you are facing. ^ tanuj",carlos,"[[3, 9]]"
303,"hurray, finally got my w10 laptop online so i can download updates that hopefully fix the issue i have getting online!",,
304,"wtf is this shit. i can't even write, every time i tap a letter ir returns to the beggining...",,
305,rest of the album. like the most recent hellyeah albums. i already have tracks but i’m required to buy the whole album again. 2/2,,
306,we're looping in an expert who can help you out here. they will reply as soon as they're available. ^ raj,,
307,"i can take a look at the signal to the modem, can you provide the acct info in a dm? ~ derrick",derrick,"[[87, 94]]"
308,could you please dm with more information? error messages or screenshots would help. ^ pb,,
309,let's take a further look into this. please send us a dm with your email and phone number linked to your account.,,
310,i already paid installation online and now you guys won't come install it this is ridiculous. please resolve it. asap,,
311,gotta love fast lte speed. they say nothing is wrong and no plans on upgrading the towers. don't you see a problem?,,
312,yep i managed to fix it myself.. just irksome as it’s clear the guitar was getting tossed around for this to happen.,,
313,"you lost a customer today because you got greedy! you raised the fees for a simple account and told me ""nothing is changing""! bs! my money will find a new home in a not so high rent bank!",,
314,thanks for following up. let's chat more here:,,
315,sorry we got it wrong! could you send us a dm with more info so we can sort it out for you? ^ kr,,
316,"thanks! we just responded to your other post . dm us your full name, registered email address, registered postcode, and the item number. we'll take a look over the transaction to see what happened here and see what options we have. thanks! ^ ae",,
317,"why should i pay if driver is not able to pick me at my location? location is auto deducted by your app, if it show wrong to friver, is it my mistake and bear rs 42 cancellation charges?",,
318,we'd be happy to look into your options with you. what exactly is going on with your phone?,,
319,"there’s an issue where if you’re screen recording and exit the app, the audio does not continue to be heard/is quiet.",,
320,"that ""attempted"" delivery email i just got was clearly a lie. i have been in my apartment pretty much all day and there was never a knock on the door. furthermore, the notice of attempted delivery is not in my mail box. im quite annoyed",,
321,i’m very disappointed that i contacted you to settle a debate between friends on you selling a certain cordial which you confirmed you did not but would take my suggestion on board! for my friend to then find a aldi colleague who told her you do stock this item in summer!,,
322,hi please cancel all of my services. an hour &amp; 29 mins on the phone with you and nobody helped!,,
323,will the 15.33 chester to euston train be running ok?,,
324,"shocking chat and phone support staff! unknown bank transaction from ""amazon luxembourg"" they said it was from a free trial, but when asked why luxembourg ""they couldn't see the bank transaction"" 1/2",,
325,ok thanks ^ r,,
326,with 100mb this my view of the man you guys are need to fix these issues.,,
327,hi there. apologies for this. this is due to more trains than usual being in for repair - josh,josh,"[[90, 94]]"
328,"stuck in preston on a train as there is no driver, sent to another train with no driver. what is this",,
329,"i see your dm, and i will continue working with you there! *bridget wren",bridget,"[[60, 67]]"
330,i´m sorry to hear that. :( please get in touch with my colleagues: they are pleased to assist you. ^ si,,
331,"hi, may we ask your institution, department so we can help you find your sales rep. they can properly assist you for this",,
332,"how low do you have to go in online marketing..? free product for a 5* review, really?",,
333,"thanks, i’ve already sent it to tom",tom,"[[32, 35]]"
334,my ipad 2 has locked. wrote to the m.d. and he did sod all. gonna buy android from now. suggest you all do the same,,
335,nan,,
336,sunderland big store at falwell road i think. is this a case of false advertising? how long would it take to put these items on the system?,,
337,quantum router g1100,,
338,"fake overdraft fees and no notification? switching banks tonight, thanks!!",,
339,"hi, could you please try sending us a dm again . ^ ah",,
340,"hello, what's going on and how may we help you?",,
341,our apologies. have you tried a reboot of the cable box to see if the channel returns? ^ ps,,
342,...cpu and the steps to resolve it: hope it helps! 2/2,,
343,lol . was this supposed to be the full subject ?,,
344,this is really great to hear jennie! have a fantastic flight! ^ bm,,
345,"we're looking forward to welcoming you on board, kashmiri! we hope you enjoy the flight. ^ anthony","kashmiri, anthony","[[49, 57], [91, 98]]"
